"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000636,0.592383,,0.000636,0.597698,,0.000636,0.599268,,0.000636,0.598577,,0.000636,0.59726,,0.000636,0.595557
0.000644,0.595891,,0.000644,0.596866,,0.000644,0.5987,,0.000644,0.598369,,0.000644,0.597294,,0.000644,0.595767
0.00065,0.598571,,0.00065,0.59717,,0.00065,0.598741,,0.00065,0.598504,,0.00065,0.597527,,0.00065,0.596085
0.0006516,0.599579,,0.0006516,0.597421,,0.0006516,0.59886,,0.0006516,0.59862,,0.0006516,0.597655,,0.0006516,0.596227
0.0006548,0.601579,,0.0006548,0.598024,,0.0006548,0.599158,,0.0006548,0.598892,,0.0006548,0.59794,,0.0006548,0.596533
0.0006612,0.605609,,0.0006612,0.599772,,0.0006612,0.60011,,0.0006612,0.599684,,0.0006612,0.598697,,0.0006612,0.597295
0.00067,0.611243,,0.00067,0.603109,,0.00067,0.602104,,0.00067,0.60127,,0.00067,0.600124,,0.00067,0.598656
0.00067128,0.612468,,0.00067128,0.603735,,0.00067128,0.602509,,0.00067128,0.601596,,0.00067128,0.600414,,0.00067128,0.598928
0.00067384,0.614824,,0.00067384,0.605038,,0.00067384,0.603354,,0.00067384,0.60227,,0.00067384,0.60101,,0.00067384,0.599483
0.00067896,0.619578,,0.00067896,0.607986,,0.00067896,0.605303,,0.00067896,0.603815,,0.00067896,0.602357,,0.00067896,0.600723
0.00068408,0.624433,,0.00068408,0.611332,,0.00068408,0.607577,,0.00068408,0.605615,,0.00068408,0.603911,,0.00068408,0.602135
0.00069,0.630131,,0.00069,0.615608,,0.00069,0.610573,,0.00069,0.607993,,0.00069,0.605953,,0.00069,0.603975
0.000691024,0.628765,,0.000691024,0.616078,,0.000691024,0.610868,,0.000691024,0.60819,,0.000691024,0.606093,,0.000691024,0.604081
0.000693072,0.625944,,0.000693072,0.616843,,0.000693072,0.611372,,0.000693072,0.608526,,0.000693072,0.606331,,0.000693072,0.604258
0.000697168,0.620359,,0.000697168,0.617458,,0.000697168,0.61194,,0.000697168,0.608917,,0.000697168,0.606603,,0.000697168,0.604452
0.00070536,0.609413,,0.00070536,0.615799,,0.00070536,0.611528,,0.00070536,0.608675,,0.00070536,0.606386,,0.00070536,0.60424
0.00071,0.603592,,0.00071,0.613528,,0.00071,0.610513,,0.00071,0.608011,,0.00071,0.605872,,0.00071,0.603811
0.000711638,0.600206,,0.000711638,0.612308,,0.000711638,0.60984,,0.000711638,0.607517,,0.000711638,0.605463,,0.000711638,0.603452
0.000714915,0.593418,,0.000714915,0.609562,,0.000714915,0.608296,,0.000714915,0.606386,,0.000714915,0.604532,,0.000714915,0.602641
0.000721469,0.580183,,0.000721469,0.602559,,0.000721469,0.604163,,0.000721469,0.603362,,0.000721469,0.602078,,0.000721469,0.600539
0.00073,0.563904,,0.00073,0.591327,,0.00073,0.597081,,0.00073,0.598127,,0.00073,0.597855,,0.00073,0.596957
0.000731311,0.56595,,0.000731311,0.590065,,0.000731311,0.596355,,0.000731311,0.597679,,0.000731311,0.597568,,0.000731311,0.596774
