"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000561981,14.8503,,0.000561981,14.8111,,0.000561981,14.7616,,0.000561981,14.7537,,0.000561981,14.7564,,0.000561981,14.7613
0.000565942,14.7644,,0.000565942,14.8118,,0.000565942,14.7625,,0.000565942,14.754,,0.000565942,14.7565,,0.000565942,14.7612
0.000573865,14.7206,,0.000573865,14.8126,,0.000573865,14.7641,,0.000573865,14.7546,,0.000573865,14.7565,,0.000573865,14.7609
0.00058,14.7182,,0.00058,14.8127,,0.00058,14.7651,,0.00058,14.7549,,0.00058,14.7564,,0.00058,14.7606
0.000581585,14.7216,,0.000581585,14.8127,,0.000581585,14.7654,,0.000581585,14.755,,0.000581585,14.7564,,0.000581585,14.7606
0.000584754,14.727,,0.000584754,14.8125,,0.000584754,14.7659,,0.000584754,14.7551,,0.000584754,14.7563,,0.000584754,14.7604
0.000591092,14.7297,,0.000591092,14.8119,,0.000591092,14.7667,,0.000591092,14.7554,,0.000591092,14.7562,,0.000591092,14.7601
0.0006,14.7281,,0.0006,14.8104,,0.0006,14.7678,,0.0006,14.7557,,0.0006,14.756,,0.0006,14.7596
0.000601268,14.7573,,0.000601268,14.8101,,0.000601268,14.768,,0.000601268,14.7558,,0.000601268,14.756,,0.000601268,14.7596
0.000603803,14.8032,,0.000603803,14.8097,,0.000603803,14.7683,,0.000603803,14.756,,0.000603803,14.7561,,0.000603803,14.7596
0.000608874,14.8427,,0.000608874,14.809,,0.000608874,14.7692,,0.000608874,14.7564,,0.000608874,14.7562,,0.000608874,14.7595
0.000619015,14.8572,,0.000619015,14.808,,0.000619015,14.7712,,0.000619015,14.7575,,0.000619015,14.7567,,0.000619015,14.7596
0.00063,14.8559,,0.00063,14.8077,,0.00063,14.7739,,0.00063,14.7592,,0.00063,14.7575,,0.00063,14.76
0.000632,14.8145,,0.000632,14.8076,,0.000632,14.7744,,0.000632,14.7594,,0.000632,14.7576,,0.000632,14.76
0.000636,14.7635,,0.000636,14.8073,,0.000636,14.7753,,0.000636,14.76,,0.000636,14.7579,,0.000636,14.7601
0.000644,14.7377,,0.000644,14.8065,,0.000644,14.777,,0.000644,14.761,,0.000644,14.7583,,0.000644,14.7602
0.00065,14.7363,,0.00065,14.8054,,0.00065,14.7781,,0.00065,14.7616,,0.00065,14.7586,,0.00065,14.7602
0.0006516,14.7307,,0.0006516,14.8051,,0.0006516,14.7783,,0.0006516,14.7618,,0.0006516,14.7587,,0.0006516,14.7602
0.0006548,14.723,,0.0006548,14.8044,,0.0006548,14.7788,,0.0006548,14.7621,,0.0006548,14.7588,,0.0006548,14.7602
0.0006612,14.7164,,0.0006612,14.8026,,0.0006612,14.7797,,0.0006612,14.7627,,0.0006612,14.7589,,0.0006612,14.7602
0.00067,14.7127,,0.00067,14.7995,,0.00067,14.7805,,0.00067,14.7632,,0.00067,14.7591,,0.00067,14.76
0.00067128,14.7049,,0.00067128,14.7989,,0.00067128,14.7806,,0.00067128,14.7633,,0.00067128,14.7591,,0.00067128,14.76
0.00067384,14.6946,,0.00067384,14.7978,,0.00067384,14.7807,,0.00067384,14.7634,,0.00067384,14.7591,,0.00067384,14.7599
0.00067896,14.6844,,0.00067896,14.7953,,0.00067896,14.7808,,0.00067896,14.7635,,0.00067896,14.759,,0.00067896,14.7597
0.00068408,14.6793,,0.00068408,14.7925,,0.00068408,14.7808,,0.00068408,14.7635,,0.00068408,14.7588,,0.00068408,14.7594
0.00069,14.6752,,0.00069,14.7888,,0.00069,14.7805,,0.00069,14.7634,,0.00069,14.7586,,0.00069,14.759
0.000691024,14.7194,,0.000691024,14.7883,,0.000691024,14.7805,,0.000691024,14.7635,,0.000691024,14.7586,,0.000691024,14.759
0.000693072,14.7926,,0.000693072,14.7871,,0.000693072,14.7805,,0.000693072,14.7636,,0.000693072,14.7586,,0.000693072,14.759
0.000697168,14.8676,,0.000697168,14.785,,0.000697168,14.7807,,0.000697168,14.7638,,0.000697168,14.7588,,0.000697168,14.759
0.00070536,14.907,,0.00070536,14.7818,,0.00070536,14.7813,,0.00070536,14.7646,,0.00070536,14.7593,,0.00070536,14.7593
0.00071,14.9038,,0.00071,14.7804,,0.00071,14.7819,,0.00071,14.7652,,0.00071,14.7597,,0.00071,14.7595
0.000711638,14.9275,,0.000711638,14.7801,,0.000711638,14.7822,,0.000711638,14.7655,,0.000711638,14.7599,,0.000711638,14.7596
0.000714915,14.9626,,0.000714915,14.7796,,0.000714915,14.7829,,0.000714915,14.7661,,0.000714915,14.7603,,0.000714915,14.76
