X--Kurve 1::[P(U1) | P(TK6)],Y--Kurve 1::[P(U1) | P(TK6)]
0.00548144,3.66843
0.00548432,3.66392
0.00549009,3.65491
0.0055,3.63952
0.00550115,3.64273
0.00550346,3.64902
0.00550807,3.66167
0.00551729,3.68715
0.00552,3.6949
0.00552184,3.68999
0.00552553,3.68018
0.00553291,3.66068
0.00554,3.64221
0.00554148,3.64533
0.00554443,3.65139
0.00555033,3.66355
0.00556,3.68362
0.00556118,3.67851
0.00556354,3.66811
0.00556826,3.64745
0.00557771,3.60664
0.00558,3.59739
0.00558189,3.58632
0.00558567,3.56432
0.00559322,3.52092
0.0056,3.48333
0.00560151,3.49804
0.00560453,3.52694
0.00561058,3.58581
0.00562,3.68131
0.00562121,3.6876
0.00562363,3.69505
0.00562846,3.71
0.00563813,3.7402
0.00565,3.77802
0.00565193,3.77194
0.0056558,3.75907
0.00566354,3.73353
0.00567,3.71264
0.00567155,3.71072
0.00567464,3.70667
0.00568083,3.69857
0.00569,3.68664
0.00569124,3.68795
0.00569371,3.69049
0.00569867,3.69559
0.00570857,3.7058
0.00571,3.70731
0.00571198,3.70965
0.00571594,3.71432
0.00572386,3.72367
0.00573,3.73097
0.00573158,3.73808
0.00573475,3.75233
0.00574109,3.78108
0.00575,3.82225
0.00575127,3.81702
0.0057538,3.80571
0.00575887,3.78323
0.00576394,3.76112
0.00577,3.73499
0.00577101,3.72768
0.00577304,3.71278
0.0057771,3.68323
0.00578521,3.6252
0.00579,3.59278
0.00579162,3.59027
0.00579487,3.58466
0.00580136,3.5735
0.00581,3.55874
0.0058113,3.56494
0.00581389,3.57727
0.00581909,3.60212
0.00582428,3.62744
0.00583,3.65572
0.00583104,3.66301
0.00583312,3.67723
0.00583727,3.70592
0.00584558,3.76429
0.00585,3.79717
0.00585166,3.79425
0.00585498,3.78785
0.00586163,3.7751
0.00587492,3.74978
0.00588,3.7404
0.005882,3.73873
0.005886,3.73536
0.005894,3.72864
0.0059,3.72362
0.0059016,3.72011
0.0059048,3.71309
0.0059112,3.6991
0.00592,3.68004
0.00592128,3.66695
0.00592384,3.64079
0.00592896,3.58933
0.00593408,3.53984
0.00594,3.48406
0.00594102,3.47878
0.00594307,3.46653
0.00594717,3.44223
0.00595536,3.39438
0.00596,3.36859
